Time (s),Flame height (m)
19,0.572727273
19.03508772,0.7
19.07017544,0.795454545
19.10526316,0.75
19.14035088,0.768181818
19.1754386,0.856818182
19.21052632,0.936363636
19.24561404,1.061363636
19.28070175,0.629545455
19.31578947,0.825
19.35087719,0.822727273
19.38596491,0.720454545
19.42105263,0.743181818
19.45614035,0.643181818
19.49122807,0.625
19.52631579,0.743181818
19.56140351,0.825
19.59649123,0.852272727
19.63157895,0.784090909
19.66666667,0.561363636
19.70175439,0.613636364
19.73684211,0.538636364
19.77192982,0.611363636
19.80701754,0.618181818
19.84210526,0.645454545
19.87719298,0.559090909
19.9122807,0.643181818
19.94736842,0.681818182
19.98245614,0.795454545
20.01754386,0.872727273
20.05263158,0.979545455
20.0877193,0.893181818
20.12280702,0.772727273
20.15789474,0.940909091
20.19298246,1.063636364
20.22807018,0.938636364
20.26315789,0.809090909
20.29824561,0.888636364
20.33333333,1.1
20.36842105,1.115909091
20.40350877,1.090909091
20.43859649,1.225
20.47368421,0.763636364
20.50877193,0.584090909
20.54385965,0.55
20.57894737,0.452272727
20.61403509,0.597727273
20.64912281,0.586363636
20.68421053,0.638636364
20.71929825,0.704545455
20.75438596,0.759090909
20.78947368,0.820454545
20.8245614,0.922727273
20.85964912,0.918181818
20.89473684,1.059090909
20.92982456,1.125
20.96491228,0.787418831
39,0.670454545
39.03508772,0.677272727
39.07017544,0.811363636
39.10526316,0.822727273
39.14035088,1.029545455
39.1754386,1.197727273
39.21052632,1.311363636
39.24561404,1.302272727
39.28070175,1.509090909
39.31578947,0.845454545
39.35087719,0.834090909
39.38596491,0.811363636
39.42105263,0.797727273
39.45614035,0.986363636
39.49122807,1.045454545
39.52631579,0.611363636
39.56140351,0.634090909
39.59649123,0.668181818
39.63157895,0.775
39.66666667,0.872727273
39.70175439,0.715909091
39.73684211,0.852272727
39.77192982,0.888636364
39.80701754,0.913636364
39.84210526,1.018181818
39.87719298,1.202272727
39.9122807,0.677272727
39.94736842,0.804545455
39.98245614,0.781818182
40.01754386,0.943181818
40.05263158,0.85
40.0877193,0.690909091
40.12280702,0.990909091
40.15789474,0.95
40.19298246,1.072727273
40.22807018,1.245454545
40.26315789,1.295454545
40.29824561,0.838636364
40.33333333,0.759090909
40.36842105,0.763636364
40.40350877,0.877272727
40.43859649,0.863636364
40.47368421,0.986363636
40.50877193,0.65
40.54385965,0.772727273
40.57894737,0.986363636
40.61403509,1.231818182
40.64912281,1.347727273
40.68421053,0.815909091
40.71929825,0.897727273
40.75438596,1.009090909
40.78947368,0.759090909
40.8245614,0.706818182
40.85964912,0.720454545
40.89473684,0.663636364
40.92982456,0.779545455
40.96491228,0.902435065
59,1
59.03508772,0.654545455
59.07017544,0.704545455
59.10526316,0.656818182
59.14035088,0.697727273
59.1754386,0.790909091
59.21052632,0.877272727
59.24561404,0.984090909
59.28070175,1.036363636
59.31578947,0.718181818
59.35087719,0.822727273
59.38596491,0.852272727
59.42105263,0.834090909
59.45614035,0.531818182
59.49122807,0.672727273
59.52631579,0.790909091
59.56140351,0.825
59.59649123,0.690909091
59.63157895,0.947727273
59.66666667,1.122727273
59.70175439,1.068181818
59.73684211,0.827272727
59.77192982,0.938636364
59.80701754,0.861363636
59.84210526,0.704545455
59.87719298,0.854545455
59.9122807,0.834090909
59.94736842,0.709090909
59.98245614,0.906818182
60.01754386,1.063636364
60.05263158,1.211363636
60.0877193,1.184090909
60.12280702,0.834090909
60.15789474,0.968181818
60.19298246,1.127272727
60.22807018,0.581818182
60.26315789,0.695454545
60.29824561,0.652272727
60.33333333,0.729545455
60.36842105,0.829545455
60.40350877,0.936363636
60.43859649,1.029545455
60.47368421,1.154545455
60.50877193,0.990909091
60.54385965,1.111363636
60.57894737,0.997727273
60.61403509,1.168181818
60.64912281,0.881818182
60.68421053,0.918181818
60.71929825,1.077272727
60.75438596,0.738636364
60.78947368,0.768181818
60.8245614,0.920454545
60.85964912,0.922727273
60.89473684,0.9
60.92982456,0.938636364
60.96491228,0.879423701
79,0.554545455
79.03508772,0.720454545
79.07017544,0.693181818
79.10526316,0.736363636
79.14035088,0.686363636
79.1754386,0.763636364
79.21052632,0.85
79.24561404,0.931818182
79.28070175,0.888636364
79.31578947,1.004545455
79.35087719,1.163636364
79.38596491,1.181818182
79.42105263,0.536363636
79.45614035,0.663636364
79.49122807,0.481818182
79.52631579,0.529545455
79.56140351,0.663636364
79.59649123,0.722727273
79.63157895,0.743181818
79.66666667,0.797727273
79.70175439,0.927272727
79.73684211,1.079545455
79.77192982,1.172727273
79.80701754,0.629545455
79.84210526,0.593181818
79.87719298,0.634090909
79.9122807,0.747727273
79.94736842,0.863636364
79.98245614,0.943181818
80.01754386,0.772727273
80.05263158,0.925
80.0877193,0.972727273
80.12280702,0.972727273
80.15789474,0.820454545
80.19298246,0.765909091
80.22807018,0.761363636
80.26315789,0.893181818
80.29824561,1
80.33333333,0.777272727
80.36842105,0.870454545
80.40350877,0.720454545
80.43859649,0.554545455
80.47368421,0.6
80.50877193,0.845454545
80.54385965,0.809090909
80.57894737,0.945454545
80.61403509,0.856818182
80.64912281,1.011363636
80.68421053,0.995454545
80.71929825,1.031818182
80.75438596,0.990909091
80.78947368,0.604545455
80.8245614,0.779545455
80.85964912,0.972727273
80.89473684,1.168181818
