Test MM3,
Time (s),Flame Heights (m)
99.5,1.634810127
99.53571429,1.636708861
99.57142857,1.636708861
99.60714286,1.636708861
99.64285714,1.636708861
99.67857143,1.636708861
99.71428571,1.634810127
99.75,1.634810127
99.78571429,1.634810127
99.82142857,1.634810127
99.85714286,1.636708861
99.89285714,1.636708861
99.92857143,1.634810127
99.96428571,1.638607595
100,1.634810127
100.0357143,1.636708861
100.0714286,1.638607595
100.1071429,1.636708861
100.1428571,1.636708861
100.1785714,1.636708861
100.2142857,1.634810127
100.25,1.634810127
100.2857143,1.634810127
100.3214286,1.636708861
100.3571429,1.636708861
100.3928571,1.636708861
100.4285714,1.636708861
100.4642857,1.636708861
100.5,1.634810127
100.5357143,1.634810127
100.5714286,1.636708861
100.6071429,1.634810127
100.6428571,1.636708861
100.6785714,1.636708861
100.7142857,1.634810127
100.75,1.636708861
100.7857143,1.638607595
100.8214286,1.638607595
100.8571429,1.636708861
100.8928571,1.634810127
100.9285714,1.634810127
100.9642857,1.634810127
119,1.636708861
119.0357143,1.636708861
119.0714286,1.634810127
119.1071429,1.636708861
119.1428571,1.636708861
119.1785714,1.636708861
119.2142857,1.638607595
119.25,1.636708861
119.2857143,1.634810127
119.3214286,1.636708861
119.3571429,1.634810127
119.3928571,1.638607595
119.4285714,1.636708861
119.4642857,1.636708861
119.5,1.636708861
119.5357143,1.636708861
119.5714286,1.636708861
119.6071429,1.636708861
119.6428571,1.636708861
119.6785714,1.638607595
119.7142857,1.636708861
119.75,1.638607595
119.7857143,1.636708861
119.8214286,1.636708861
119.8571429,1.636708861
119.8928571,1.636708861
119.9285714,1.636708861
119.9642857,1.634810127
120,1.636708861
120.0357143,1.636708861
120.0714286,1.636708861
120.1071429,1.636708861
120.1428571,1.636708861
120.1785714,1.634810127
120.2142857,1.638607595
120.25,1.634810127
120.2857143,1.636708861
120.3214286,1.634810127
120.3571429,1.636708861
120.3928571,1.634810127
120.4285714,1.634810127
120.4642857,1.636708861
120.5,1.636708861
120.5357143,1.634810127
120.5714286,1.638607595
120.6071429,1.638607595
120.6428571,1.636708861
120.6785714,1.636708861
120.7142857,1.638607595
120.75,1.638607595
120.7857143,1.640506329
120.8214286,1.640506329
120.8571429,1.640506329
120.8928571,1.636708861
120.9285714,1.638607595
120.9642857,1.636708861
139,1.634810127
139.0357143,1.636708861
139.0714286,1.636708861
139.1071429,1.636708861
139.1428571,1.636708861
139.1785714,1.634810127
139.2142857,1.636708861
139.25,1.636708861
139.2857143,1.636708861
139.3214286,1.634810127
139.3571429,1.634810127
139.3928571,1.634810127
139.4285714,1.634810127
139.4642857,1.634810127
139.5,1.634810127
139.5357143,1.634810127
139.5714286,1.636708861
139.6071429,1.638607595
139.6428571,1.634810127
139.6785714,1.636708861
139.7142857,1.634810127
139.75,1.634810127
139.7857143,1.634810127
139.8214286,1.634810127
139.8571429,1.636708861
139.8928571,1.636708861
139.9285714,1.634810127
139.9642857,1.636708861
140,1.634810127
140.0357143,1.636708861
140.0714286,1.634810127
140.1071429,1.634810127
140.1428571,1.634810127
140.1785714,1.636708861
140.2142857,1.636708861
140.25,1.634810127
140.2857143,1.634810127
140.3214286,1.634810127
140.3571429,1.636708861
140.3928571,1.634810127
140.4285714,1.638607595
140.4642857,1.638607595
140.5,1.636708861
140.5357143,1.634810127
140.5714286,1.634810127
140.6071429,1.636708861
140.6428571,1.632911392
140.6785714,1.634810127
140.7142857,1.634810127
140.75,1.636708861
140.7857143,1.638607595
140.8214286,1.638607595
140.8571429,1.638607595
140.8928571,1.638607595
140.9285714,1.636708861
140.9642857,1.636708861
159,1.634810127
159.0357143,1.634810127
159.0714286,1.634810127
159.1071429,1.632911392
159.1428571,1.632911392
159.1785714,1.634810127
159.2142857,1.634810127
159.25,1.634810127
159.2857143,1.634810127
159.3214286,1.636708861
159.3571429,1.636708861
159.3928571,1.634810127
159.4285714,1.636708861
159.4642857,1.636708861
159.5,1.634810127
159.5357143,1.636708861
159.5714286,1.634810127
159.6071429,1.634810127
159.6428571,1.634810127
159.6785714,1.634810127
159.7142857,1.632911392
159.75,1.636708861
159.7857143,1.636708861
159.8214286,1.636708861
159.8571429,1.636708861
159.8928571,1.634810127
159.9285714,1.634810127
159.9642857,1.634810127
160,1.634810127
160.0357143,1.636708861
160.0714286,1.634810127
160.1071429,1.634810127
160.1428571,1.634810127
160.1785714,1.634810127
160.2142857,1.636708861
160.25,1.634810127
160.2857143,1.634810127
160.3214286,1.636708861
160.3571429,1.634810127
160.3928571,1.634810127
160.4285714,1.636708861
160.4642857,1.636708861
160.5,1.634810127
160.5357143,1.634810127
160.5714286,1.634810127
160.6071429,1.634810127
160.6428571,1.634810127
160.6785714,1.636708861
160.7142857,1.636708861
160.75,1.636708861
160.7857143,1.636708861
160.8214286,1.636708861
160.8571429,1.634810127
160.8928571,1.634810127
160.9285714,1.634810127
160.9642857,1.632911392
179,1.632911392
179.0357143,1.631012658
179.0714286,1.631012658
179.1071429,1.631012658
179.1428571,1.631012658
179.1785714,1.631012658
179.2142857,1.631012658
