Time (s),dp (N/m²),X O2 (%),X CO2 (%),T_MS1 (K),Light signal (-)
279,51.59824577,20.66663078,0.224744838,318.95,0.983791402
282,51.67736685,20.66317065,0.230356575,320.1833333,0.980267794
285,52.45727462,20.66581663,0.227641218,319.15,0.984143763
288,53.3502125,20.67192275,0.22818429,319.0166667,0.984848485
291,53.7571209,20.66988738,0.22438279,319.3166667,0.984496124
294,53.76842391,20.67029446,0.223296647,319.3166667,0.984496124
297,53.83624197,20.67049799,0.226374052,319.25,0.982381959
300,54.60484673,20.6759935,0.222391528,319.1833333,0.980620155
303,54.2657564,20.7604615,0.185643698,309.3166667,0.992600423
306,54.74048286,20.79791237,0.153421463,308.5166667,0.988724454
309,54.60484673,20.7539483,0.168265414,312.15,0.982381959
312,52.99981915,20.70855948,0.194513864,314.6166667,0.977096547
315,51.99385116,20.68535622,0.206280411,315.1833333,0.977448908
318,52.10688127,20.6808784,0.218046957,315.3166667,0.97850599
321,52.47988064,20.67355105,0.220943338,315.6833333,0.974630021
324,52.05036622,20.66927677,0.223477671,315.4833333,0.9739253
327,52.01645718,20.66846262,0.22438279,316.3833333,0.974630021
330,51.68866986,20.67334752,0.224201766,315.3166667,0.978858351
333,52.03906321,20.67151568,0.224925861,316.8833333,0.975334743
336,52.11818428,20.66724139,0.225649957,316.1166667,0.974982382
339,52.54769871,20.66500248,0.225287909,316.7166667,0.974982382
342,52.03906321,20.67049799,0.226555076,316.3833333,0.972515856
345,52.03906321,20.66927677,0.225649957,316.4833333,0.974982382
348,51.67736685,20.66846262,0.226193028,315.8166667,0.974982382
351,52.46857763,20.66500248,0.225468933,316.7166667,0.974982382
354,52.11818428,20.66927677,0.22438279,316.5166667,0.973220578
357,50.84094403,20.67355105,0.225106885,316.8166667,0.972868217
360,52.1294873,20.67355105,0.224563814,316.65,0.971458774
363,52.87548603,20.67049799,0.224020742,316.45,0.971458774
366,53.42933357,20.66724139,0.223839719,316.2833333,0.972868217
369,52.45727462,20.66581663,0.229270432,316.9166667,0.973572939
372,52.92069807,20.66805554,0.228908385,316.3833333,0.970754052
375,52.90939506,20.66805554,0.228365313,316.3166667,0.9739253
378,52.89809205,20.66602017,0.227822242,316.75,0.972515856
381,52.45727462,20.66520602,0.22583098,316.6166667,0.971811135
