Time (s),dp (N/m²),X O2 (%),X CO2 (%),T_MS1 (K),Light signal (-)
273,59.95117099,20.68453173,0.219730991,316.4833333,0.986584482
276,60.68586671,20.68595653,0.220999559,315.85,0.986947063
279,59.95117099,20.68554944,0.220274663,316.65,0.986584482
282,59.95117099,20.68432819,0.225167709,316.9166667,0.985496737
285,59.51035356,20.68616007,0.220093439,316.1833333,0.985134155
288,59.52165657,20.68717779,0.22244935,316.25,0.987672226
291,59.53295958,20.68697424,0.220818335,316.5166667,0.985496737
294,59.51035356,20.68799196,0.219730991,316.4833333,0.986584482
297,60.71977575,20.69023093,0.219187319,317.25,0.985134155
300,59.52165657,20.69023093,0.21646896,317.3833333,0.985859318
303,59.84944389,20.76350633,0.20034003,305.7833333,0.986584482
306,59.8607469,20.83271089,0.172612769,303.2166667,0.995286439
309,60.82150285,20.78508187,0.163732796,310.2166667,0.994561276
312,60.82150285,20.73236429,0.182217637,313.05,0.980058013
315,59.84944389,20.71343481,0.190916386,311.95,0.975707034
318,59.51035356,20.70508955,0.196353104,313.2166667,0.977519942
321,60.27895831,20.6967443,0.202695942,312.5166667,0.976069616
324,59.8607469,20.68636361,0.209763675,313.3166667,0.976069616
327,59.83814088,20.68168213,0.215200393,313.05,0.976069616
330,59.41992947,20.6810715,0.213569377,313.4166667,0.972806381
333,59.87204991,20.67842544,0.215019169,313.6833333,0.9724438
336,59.84944389,20.67292979,0.219368543,314.9166667,0.969543147
339,59.93986798,20.67923962,0.222630574,314.15,0.972081218
342,59.92856497,20.67150499,0.229517083,314.5166667,0.973168963
345,59.83814088,20.66092076,0.229517083,315.15,0.970993474
348,58.54959761,20.64117711,0.245283565,317.3166667,0.972081218
351,58.21050728,20.62102638,0.256338225,318.65,0.974256708
354,59.84944389,20.60738901,0.274460618,319.5166667,0.971356055
357,60.29026133,20.5807249,0.290408324,322.5166667,0.971718637
360,60.38068541,20.54449428,0.31831681,324.5833333,0.967730239
363,61.12668415,20.51762663,0.344956727,326.3166667,0.968455402
366,61.12668415,20.48831647,0.371052974,329.1833333,0.965192168
369,61.23971426,20.46043111,0.401136146,330.45,0.960116026
372,60.82150285,20.42562529,0.425238929,333.7166667,0.957215373
375,59.84944389,20.38654507,0.458584132,339.3166667,0.954677302
378,61.6918347,20.29800396,0.517844358,344.95,0.948875997
381,62.11004612,20.19582547,0.587253123,352.3833333,0.959390863
384,62.87865087,20.1046383,0.667535325,359.8166667,0.961566352
387,64.23501221,19.97498154,0.771739085,371.5833333,0.960841189
390,66.02088796,19.83535118,0.876848965,386.4833333,0.949963742
393,66.77818971,19.76187223,0.96329278,383.35,0.941624365
396,68.17976309,19.82069609,0.991020042,373.1166667,0.94960116
399,69.02748892,19.87565265,0.973803768,374.05,0.957577955
402,70.66642554,19.90781241,0.967460931,373.65,0.959753445
405,71.5480604,19.932034,0.952056897,372.1833333,0.96555475
408,72.40708925,19.93325526,0.949338538,376.7833333,0.973168963
411,72.49751334,19.91473287,0.9641989,377.0833333,0.971356055
414,72.07930193,19.86079403,0.993557177,381.5166667,0.974256708
417,71.5480604,19.80827998,1.039225607,388.0833333,0.971718637
420,70.74554661,19.77245645,1.074020602,389.05,0.971718637
423,72.0566959,19.7413144,1.107365806,391.2833333,0.972081218
426,73.30002713,19.69246413,1.146691399,399.4166667,0.973168963
429,74.14775296,19.65460517,1.188735351,401.3833333,0.969543147
432,74.15905597,19.64218906,1.210300998,402.65,0.974619289
435,73.79735962,19.61593204,1.232410318,405.45,0.974619289
438,74.67899448,19.59985216,1.258687788,405.85,0.975707034
441,76.39705217,19.58601125,1.280615884,405.55,0.974256708
444,77.26738403,19.55161252,1.305081114,411.5833333,0.974256708
447,78.13771589,19.49054968,1.341688348,419.1166667,0.973531545
450,77.60647436,19.42195575,1.392612273,423.8833333,0.975707034
453,77.18826295,19.41829198,1.427588492,420.4833333,0.977882524
456,78.02468578,19.41523884,1.437374584,421.6833333,0.980058013
459,79.42625916,19.41707073,1.44136151,425.05,0.980058013
462,80.62437833,19.41808844,1.442086406,423.4166667,0.97933285
465,79.86707659,19.42826558,1.43809948,421.85,0.978970268
468,78.92892667,19.42765495,1.429763179,424.9166667,0.980420595
471,79.42625916,19.42806204,1.430306851,425.6833333,0.97933285
474,79.43756217,19.43274352,1.422514222,419.35,0.980420595
477,79.34713808,19.46246077,1.401492246,418.6166667,0.982958666
480,79.8783796,19.51924921,1.365609907,416.2166667,0.985134155
483,80.21746993,19.55507274,1.3329896,413.1166667,0.9862219
486,80.64698436,19.56891365,1.31088028,414.0833333,0.9862219
489,79.8783796,19.57400222,1.298375829,418.95,0.986947063
492,79.86707659,19.57481639,1.287683617,415.15,0.985859318
495,80.29659101,19.58417936,1.278803644,414.9833333,0.988034808
498,81.06519577,19.58662188,1.275904061,417.25,0.986947063
501,80.63568135,19.59476359,1.267748985,417.1833333,0.986584482
504,80.63568135,19.60779033,1.259593908,416.8166667,0.987309645
507,81.07649878,19.6423926,1.241109067,409.3833333,0.986584482
510,81.49471019,19.65195911,1.224255241,409.9833333,0.988397389
513,80.78262049,19.67027797,1.217368732,410.0833333,0.988397389
516,79.8783796,19.67679134,1.202327145,410.7166667,0.988034808
519,80.285288,19.68249053,1.189279022,408.85,0.987672226
522,80.62437833,19.69226059,1.178224363,410.4833333,0.985859318
525,79.42625916,19.70365899,1.172968869,408.05,0.987672226
528,79.00804774,19.71281841,1.159014626,406.75,0.987309645
531,79.86707659,19.72360618,1.153759132,409.4166667,0.988034808
534,80.29659101,19.73602229,1.138355098,405.3166667,0.988034808
537,80.65828737,19.73866835,1.131831036,409.45,0.987309645
540,80.30789402,19.74009315,1.133462052,408.35,0.986584482
543,78.91762365,19.74090732,1.126213094,404.1833333,0.987672226
546,78.49941224,19.74518172,1.122951064,407.95,0.987309645
549,78.11510987,19.75006674,1.122407392,409.7833333,0.9862219
552,78.56723031,19.76329703,1.113889867,407.7833333,0.9862219
555,77.69689845,19.76879268,1.103560103,404.9833333,0.985496737
558,78.47680622,19.77896982,1.093774011,407.3833333,0.985496737
561,78.49941224,19.78202296,1.093049115,404.2166667,0.985496737
564,78.03598879,19.79382844,1.084169142,403.3833333,0.985496737
567,77.70820146,19.80889061,1.071664691,400.1166667,0.985134155
570,78.3524731,19.80604101,1.0702149,407.15,0.986584482
573,78.48810923,19.80197016,1.070939795,401.1833333,0.984771574
576,78.1490189,19.81112958,1.060972479,401.3833333,0.9862219
579,77.60647436,19.82517404,1.056079433,400.95,0.986584482
582,78.03598879,19.83148386,1.045387221,400.7833333,0.985134155
585,77.62908039,19.84003266,1.040856623,399.45,0.9862219
588,78.03598879,19.84695312,1.028533395,402.4166667,0.984771574
591,78.49941224,19.85835151,1.022915454,398.9833333,0.98404641
594,78.0472918,19.87321014,1.012766913,398.3166667,0.985496737
597,77.25608102,19.88786522,1.003524493,397.1833333,0.9862219
600,77.26738403,19.9010955,0.991926161,396.15,0.984771574
603,78.1490189,19.90313093,0.988845355,397.55,0.98404641
606,78.99674473,19.90862658,0.977428247,396.9166667,0.9862219
609,78.57853332,19.9096443,0.975978455,395.6833333,0.985496737
612,77.25608102,19.9124939,0.965648691,394.4166667,0.987309645
615,76.8265666,19.91697184,0.959849526,394.2166667,0.984771574
618,76.84917262,19.92267104,0.96003075,394.8833333,0.984408992
621,75.95623474,19.92613126,0.954956479,395.6166667,0.98404641
624,75.54932634,19.91860018,0.955681375,397.0833333,0.981508339
627,75.87711366,19.91798955,0.960755645,397.1833333,0.98404641
630,76.30662809,19.92450292,0.953869136,393.45,0.985134155
633,76.40835519,19.93183046,0.948432418,396.05,0.98404641
636,76.39705217,19.93386589,0.94716385,395.85,0.986584482
639,76.29532507,19.93793675,0.944807939,394.35,0.985859318
642,76.3179311,19.94322886,0.940821013,395.5833333,0.985134155
645,76.32923411,19.94607846,0.935384295,393.9833333,0.985134155
648,76.40835519,19.9505564,0.929585129,393.35,0.985496737
651,75.86581065,19.9548308,0.923785963,390.7833333,0.985496737
654,75.43629623,19.96114062,0.915268439,393.0166667,0.985859318
657,75.45890225,19.96561857,0.915268439,394.8166667,0.985859318
660,75.10850891,19.96460085,0.917080678,392.7166667,0.985496737
663,75.13111493,19.96419377,0.916174558,392.3833333,0.984408992
666,76.39705217,19.96907879,0.914724767,391.8166667,0.982596084
669,75.96753775,19.97640633,0.910194168,393.0166667,0.984771574
672,76.39705217,19.97966302,0.902582763,392.3166667,0.983321247
675,75.44759924,19.98047719,0.903126435,392.55,0.981870921
678,75.56062935,19.98129136,0.902401539,392.2833333,0.982596084
681,75.56062935,19.98068073,0.902220316,390.95,0.982596084
684,75.52672032,19.9829197,0.899864404,392.45,0.982233503
687,75.28935708,19.98536222,0.897689717,391.95,0.981870921
690,75.86581065,19.98800827,0.893702791,390.65,0.982596084
693,75.97884076,19.9914685,0.891165656,392.3833333,0.981870921
696,77.18826295,19.99228267,0.888447297,390.9833333,0.981145758
699,76.7248395,19.99635353,0.888809745,392.05,0.981870921
702,76.86047563,19.99513227,0.886635057,392.1166667,0.981145758
705,75.87711366,20.00022084,0.884097922,389.55,0.982958666
708,75.87711366,20.00225627,0.881560787,390.1166667,0.980783176
711,75.43629623,20.00673421,0.880110996,390.8166667,0.980783176
714,75.86581065,20.00693775,0.878117533,391.6833333,0.980420595
717,75.87711366,20.00795547,0.877573861,389.0833333,0.979695431
720,75.53802333,20.01039798,0.875580398,390.0166667,0.981508339
723,76.28402206,20.01039798,0.873586934,389.65,0.981145758
726,75.86581065,20.01202632,0.868875112,388.7166667,0.981145758
729,75.45890225,20.02037158,0.86506941,388.2166667,0.981508339
732,75.89971969,20.02403535,0.860357587,390.8166667,0.978970268
735,75.51541731,20.02749558,0.855645765,388.5166667,0.978607687
738,75.84320463,20.03543375,0.852383734,387.1833333,0.979695431
741,76.49877927,20.04255774,0.850390271,387.25,0.978607687
744,76.39705217,20.03746917,0.851296391,387.7833333,0.977519942
747,75.54932634,20.03746917,0.844591105,388.5166667,0.978607687
750,75.0972059,20.04052232,0.845497225,388.4166667,0.977519942
753,75.43629623,20.04398254,0.844772329,386.0833333,0.978607687
756,75.01808482,20.04540734,0.844228658,388.4166667,0.976794779
759,75.88841667,20.04316837,0.843684986,387.85,0.976069616
762,75.86581065,20.04276129,0.84205397,385.6166667,0.974256708
765,75.00678181,20.0423542,0.839879283,387.7833333,0.975707034
768,75.43629623,20.04296483,0.83879194,387.4166667,0.975344453
771,76.37444615,20.04540734,0.840604179,387.65,0.97715736
774,75.7075685,20.05538094,0.835348685,386.5833333,0.975344453
777,74.66769147,20.0594518,0.829730743,386.4166667,0.976069616
780,74.59987341,20.05761991,0.830093191,386.25,0.973531545
783,73.79735962,20.06189431,0.827918504,386.7166667,0.974619289
786,73.78605661,20.06677934,0.827374832,387.2166667,0.973894126
789,74.6902975,20.06779705,0.826287488,385.5833333,0.972806381
792,75.01808482,20.07146082,0.818313635,384.5833333,0.972806381
795,75.00678181,20.07471751,0.815414053,385.3166667,0.974256708
798,75.43629623,20.07512459,0.811789574,385.7833333,0.971718637
801,74.9954788,20.07451396,0.810521006,385.85,0.970993474
804,75.44759924,20.07675293,0.81070223,385.0833333,0.971718637
807,75.43629623,20.07960253,0.80653408,385.0833333,0.972081218
810,75.53802333,20.08387693,0.803815721,384.1833333,0.970630892
813,75.54932634,20.08937259,0.799647571,382.1833333,0.968455402
816,74.67899448,20.09975327,0.795660644,383.55,0.969543147
819,74.9954788,20.10138161,0.794392077,382.1833333,0.968455402
822,75.87711366,20.10423121,0.790948822,379.9166667,0.969905729
825,75.10850891,20.10789498,0.786961895,383.5833333,0.969543147
828,74.56596437,20.10911624,0.780437834,383.7166667,0.965917331
831,75.01808482,20.10809853,0.780800282,381.0833333,0.968092821
834,74.57726738,20.10565601,0.782612521,383.35,0.96555475
837,74.23817705,20.1060631,0.781525177,382.35,0.965917331
840,73.81996564,20.11237292,0.775726012,382.65,0.967367658
843,74.22687404,20.11542607,0.771376637,382.6166667,0.966279913
846,75.0972059,20.11929338,0.764671352,379.15,0.963016679
849,75.08590288,20.12702801,0.763402784,381.4166667,0.963016679
852,74.64508545,20.13089532,0.761952993,380.0166667,0.964829587
855,72.92702776,20.13252366,0.758509738,381.0833333,0.962291516
858,73.30002713,20.13801932,0.751260781,381.85,0.96337926
861,73.175694,20.13720515,0.751079557,379.7833333,0.961203771
864,72.94963378,20.13740869,0.752166901,381.65,0.961203771
867,73.79735962,20.14392206,0.748723646,379.25,0.962291516
